Model,Max AUC,Min AUC,Mean AUC,Median AUC
Random Forest,0.8119747899159664,0.5270964691046658,0.6773262130929946,0.677745245825603
XGBoost,0.9107142857142856,0.5805366483897397,0.7526194751681695,0.7519644741193329
LightGBM,0.8396358543417366,0.4333333333333333,0.6481785020287457,0.6392358095839583
CatBoost,0.8416610132054336,0.470279086625589,0.6209455609252812,0.6113474506838091
