Ticker,Random Forest,XGBoost,LightGBM,CatBoost
AZN,0.5270964691046658,0.5999921185372005,0.5546658259773014,0.5438839848675914
ROST,0.6784999763701381,0.8118275335150207,0.6891570440618158,0.6435829171852109
GEHC,0.7222222222222222,0.7944444444444445,0.43333333333333335,0.5555555555555556
EA,0.7270282632010598,0.76331146299918,0.6865655163712069,0.7031890732445902
SGEN,0.759825189719641,0.8415505734976257,0.6867298802518026,0.7463515453670544
CSGP,0.6840400378310215,0.7883669609079444,0.6361759142496848,0.5623896595208071
GFS,0.8119747899159664,0.9107142857142857,0.8396358543417366,0.7149859943977591
XEL,0.7318860008832251,0.842328559712321,0.6960917292284398,0.683915841271844
BKR,0.6850506489395378,0.8227128838239949,0.6835707502374169,0.6221747388414055
CTSH,0.7262846784363178,0.8010403530895334,0.7075819672131147,0.6933795712484238
FAST,0.7130323840725806,0.7801080519153225,0.6766160534274194,0.6339623235887096
VRSK,0.6546810756313112,0.7268860568061879,0.6046724113486349,0.5722522408985649
CRWD,0.6501093408309904,0.7255024471519317,0.5995001562011871,0.5934603769655316
DLTR,0.7581758864798948,0.8053228386361116,0.6785867000300905,0.6720776649826584
WBD,0.7778976377952755,0.8417952755905511,0.7484566929133858,0.7889606299212598
DDOG,0.5616165277274374,0.6861785671136886,0.6063791228706054,0.47027908662558904
CEG,0.5733590733590734,0.6496138996138996,0.6274131274131275,0.5120656370656371
ILMN,0.6608742894036502,0.7878682896871013,0.6329307276821567,0.5245106530400139
ANSS,0.6661482592563354,0.7744059366858768,0.6122523091497591,0.5909528696613247
ALGN,0.7101993575207861,0.7872889896699421,0.645234945830184,0.6125598387503149
TEAM,0.677745245825603,0.753333719851577,0.6336966604823747,0.6099837662337663
WBA,0.7314072370390208,0.771073898454607,0.7057924668000441,0.7171190472439704
FANG,0.7229076069830467,0.8231234637927776,0.7773523665469212,0.7448477973151824
ENPH,0.6831591063178973,0.7453210980243761,0.5919776737145831,0.571953392302477
EBAY,0.6352652058160967,0.7801162589202728,0.6060902030592795,0.5760330187936168
ZS,0.6165286258388247,0.7245329786590895,0.5997823589867601,0.5864820748443262
SIRI,0.786764705882353,0.9097112529222214,0.7811808934099955,0.8226290516206483
ZM,0.7100331836814366,0.7705446027718134,0.6772398984969744,0.6589888737068125
JD,0.6326615375487035,0.7108443266549316,0.6093233915468445,0.5615494155574454
LCID,0.7063033941353037,0.7732625259755253,0.6991456938351421,0.6702839990764258
