Ticker,Random Forest,XGBoost,LightGBM,CatBoost
MSFT,0.6340168494674933,0.6807025910030201,0.5954061357494834,0.5924495310761406
AAPL,0.6417024162513406,0.6771260488297268,0.6403223771370892,0.688552772695729
NVDA,0.6269253930020284,0.6878169371196755,0.6033373478701827,0.6137962728194726
AMZN,0.6250236443883983,0.69468789407314,0.6043663303909206,0.5807061790668347
META,0.5782116305443548,0.6771988407258065,0.5794953377016129,0.5284620715725806
TSLA,0.7137084705178091,0.7835504655082784,0.621953716977268,0.650089005812946
GOOGL,0.6437356911660219,0.6760006315623274,0.6392358095839583,0.5853477540064735
GOOG,0.6612310844892811,0.7443095838587641,0.631998738965952,0.5896752837326606
AVGO,0.640167297979798,0.7296243686868686,0.5877051767676769,0.553945707070707
COST,0.6858729033782187,0.7355539806283959,0.5979368454208992,0.6626506024096386
ADBE,0.6478599221789884,0.6706312323760614,0.5848863403645299,0.5711337607712786
CSCO,0.6358046076563311,0.7435081807158718,0.6469615608711401,0.594318378659276
NFLX,0.7376182219419924,0.826812736443884,0.7048865069356873,0.696374527112232
AMD,0.6220299993697612,0.7053869666603643,0.5820728556122772,0.6030125417533245
CMCSA,0.6759706439393939,0.7905145202020202,0.6318181818181818,0.5840672348484849
TMUS,0.6453409592235457,0.7614073233755592,0.6135375307241444,0.5757389550639692
TXN,0.6424599924395161,0.732453377016129,0.6546276461693549,0.5963489163306451
INTC,0.6542016276575611,0.7966532079994952,0.6641536811557631,0.625796479717368
HON,0.625419800387872,0.701937782823266,0.6075556186241584,0.5636441038739889
INTU,0.6559570881708912,0.6070117676711984,0.6006553348351423,0.632807700184313
QCOM,0.629550186108132,0.7275250772821904,0.6266639328748975,0.5883698189388682
ISRG,0.7084973024436687,0.7744049508092669,0.6895271342430975,0.684401777213583
AMGN,0.7062760847310812,0.7776754075124025,0.7110796125679187,0.6439404677533664
AMAT,0.694912985274431,0.7679029844869676,0.6569336168202221,0.6569493660918183
SBUX,0.6244466228181128,0.6765747533518847,0.6059163926132052,0.5868011636731596
BKNG,0.7386320665532237,0.8135123211697234,0.7135564378899604,0.7266654061889456
ADI,0.6503084423268068,0.747629490557405,0.6400769922534434,0.608301910606945
MDLZ,0.7132121001829537,0.7955964923348685,0.6759352722225727,0.6428931928584948
GILD,0.7501459381853178,0.8537620497609769,0.7830017512582238,0.7296435952858022
ADP,0.6923924853943907,0.7411460875864133,0.6849125238177725,0.6387099822055651
VRTX,0.7612335567923096,0.8283107766253477,0.6843378446749305,0.6597204654692639
LRCX,0.6939044195323463,0.7214102139602352,0.6493858694795263,0.6112293647414975
PYPL,0.6387049395758715,0.7093200030920662,0.5925429668375892,0.6211445798654951
REGN,0.7443726355611602,0.8249369482976041,0.7137137452711222,0.7527269861286254
PANW,0.6465699250015756,0.7418699186991871,0.5932911073296779,0.4776895443373039
MU,0.6848661417322834,0.7343622047244095,0.6657952755905512,0.6228346456692914
CSX,0.6778026234981024,0.7957261861644331,0.6655433601562132,0.6302536888021039
SNPS,0.6269975170306233,0.6730518240275036,0.6018494938562424,0.5994938562424397
KLAC,0.6760718789407313,0.7492197351828499,0.6524590163934426,0.58390605296343
ASML,0.5370344110417848,0.5805366483897397,0.5390590533812315,0.552719480683179
CDNS,0.6380359394703656,0.584985813366961,0.5895018915510718,0.5914564943253467
FTNT,0.6191936617468532,0.6639991054884671,0.5875343428534918,0.5515622004983707
ORLY,0.6829208701134931,0.7200031525851198,0.6156525851197983,0.614249684741488
MNST,0.7426105853266775,0.7519644741193329,0.6707557123285514,0.6328362439569785
MAR,0.7137996368516619,0.789310807610326,0.7196968500828924,0.6225941422594142
CHTR,0.7177494290889045,0.7945665012993148,0.7051736357193481,0.6394046775336641
MELI,0.6046854082998661,0.7422159225135837,0.5441215843767226,0.5106150090558312
ABNB,0.7119444444444446,0.815,0.7061111111111111,0.6861111111111111
NXPI,0.6559110970996217,0.7228247162673394,0.6333701134930644,0.6070302648171501
MRVL,0.6481741020109285,0.6569847093838086,0.5825079130119837,0.5151410169598286
DXCM,0.7114134303567191,0.8026101399984182,0.6402594320968126,0.5579213794194415
CTAS,0.6013374485596708,0.6270971826527382,0.5941120607787274,0.5939537828426718
MCHP,0.6594298763682179,0.7390030711079614,0.6339711788329789,0.5530356721001654
MRNA,0.7187294543063775,0.8269230769230769,0.7082511505588428,0.678007889546351
LULU,0.6677411727616644,0.7509142496847414,0.6344262295081968,0.5991172761664566
ADSK,0.7222914661660066,0.7953236672293833,0.7173532335168735,0.6429642017575691
PDD,0.612056392805056,0.6551149385373984,0.5672616153899577,0.5102090422946038
WDAY,0.6956731301063547,0.7907204601842635,0.6495203780085019,0.5621770255535011
PCAR,0.7205055516182375,0.7851326876131979,0.7199622017481692,0.6567918733758563
AEP,0.6834401524337432,0.8302284931420563,0.691353164417429,0.659512149032329
KDP,0.6710323210685485,0.7758631552419355,0.6373645413306451,0.5414881552419355
KHC,0.667464114832536,0.7541704383809646,0.6217768007241691,0.6321220742273375
IDXX,0.6294390814103277,0.6852844351850379,0.5906582483818127,0.595842809204981
CPRT,0.7164555366483897,0.7304310833806013,0.6315623621352492,0.6113474506838091
PAYX,0.6741218637992832,0.7493588211867781,0.6421505376344085,0.6442214257268021
ON,0.6543064656193258,0.7295729059761585,0.6090471303386753,0.5803426225625642
EXC,0.7564363143631436,0.8572981660049158,0.760304405369635,0.7192128316632003
ODFL,0.6971072036301759,0.7481880632759816,0.687370013235016,0.6550072477468961
BIIB,0.7893204802549578,0.8737516368742406,0.8129151349731,0.8416610132054336
